SimTime,cpu_tb.cpu_ut.registers.inW[31:0],cpu_tb.cpu_ut.registers.outB[31:0],cpu_tb.cpu_ut.registers.outA[31:0],cpu_tb.cpu_ut.datamem.dout[31:0],cpu_tb.cpu_ut.datamem.din[31:0],cpu_tb.cpu_ut.datamem.addr[31:0],cpu_tb.cpu_ut.cpu_alu.R[31:0],cpu_tb.cpu_ut.cpu_alu.B[31:0],cpu_tb.cpu_ut.cpu_alu.A[31:0],cpu_tb.cpu_ut.instructionfetcher.currpc[29:0],cpu_tb.cpu_ut.instructionfetcher.instr[31:0],cpu_tb.cpu_ut.aluctrl.ALUOp[2:0],cpu_tb.cpu_ut.aluctrl.ALUCtr[2:0],cpu_tb.clk
215,FFFFFFFF,00000001,00000000,00000008,00000001,FFFFFFFF,FFFFFFFF,00000001,00000000,0010000F,10850002,1,6,1
220,00000049,00000008,00000051,00000008,00000008,00000049,00000049,00000008,00000051,00100010,00C33022,4,6,0
225,00000049,00000008,00000051,00000008,00000008,00000049,00000049,00000008,00000051,00100010,00C33022,4,6,1
230,10000008,00000000,10000008,00000000,00000000,10000008,10000008,00000000,10000008,00100011,AC400000,0,2,0
235,10000008,00000000,10000008,00000000,00000000,10000008,10000008,00000000,10000008,00100011,AC400000,0,2,1
240,1000000C,10000008,10000008,000002BC,10000008,1000000C,1000000C,00000004,10000008,00100012,20420004,0,2,0
245,1000000C,10000008,10000008,000002BC,10000008,1000000C,1000000C,00000004,10000008,00100012,20420004,0,2,1
250,FFFFFFE4,10000028,1000000C,00000000,10000028,FFFFFFE4,FFFFFFE4,10000028,1000000C,00100013,1447FFF9,1,6,0
255,FFFFFFE4,10000028,1000000C,00000000,10000028,FFFFFFE4,FFFFFFE4,10000028,1000000C,00100013,1447FFF9,1,6,1
260,000002BC,00000008,1000000C,000002BC,00000008,1000000C,1000000C,00000000,1000000C,0010000D,8C430000,0,2,0
265,000002BC,00000008,1000000C,000002BC,00000008,1000000C,1000000C,00000000,1000000C,0010000D,8C430000,0,2,1
270,00000001,000002BC,00000049,00000000,000002BC,00000001,00000001,000002BC,00000049,0010000E,00C3202A,4,7,0
275,00000001,000002BC,00000049,00000000,000002BC,00000001,00000001,000002BC,00000049,0010000E,00C3202A,4,7,1
280,00000000,00000001,00000001,00000000,00000001,00000000,00000000,00000001,00000001,0010000F,10850002,1,6,0
285,00000000,00000001,00000001,00000000,00000001,00000000,00000000,00000001,00000001,0010000F,10850002,1,6,1
290,10000010,1000000C,1000000C,00000005,1000000C,10000010,10000010,00000004,1000000C,00100012,20420004,0,2,0
295,10000010,1000000C,1000000C,00000005,1000000C,10000010,10000010,00000004,1000000C,00100012,20420004,0,2,1
300,FFFFFFE8,10000028,10000010,00000000,10000028,FFFFFFE8,FFFFFFE8,10000028,10000010,00100013,1447FFF9,1,6,0
305,FFFFFFE8,10000028,10000010,00000000,10000028,FFFFFFE8,FFFFFFE8,10000028,10000010,00100013,1447FFF9,1,6,1
310,00000005,000002BC,10000010,00000005,000002BC,10000010,10000010,00000000,10000010,0010000D,8C430000,0,2,0
315,00000005,000002BC,10000010,00000005,000002BC,10000010,10000010,00000000,10000010,0010000D,8C430000,0,2,1
320,00000000,00000005,00000049,00000005,00000005,00000000,00000000,00000005,00000049,0010000E,00C3202A,4,7,0
325,00000000,00000005,00000049,00000005,00000005,00000000,00000000,00000005,00000049,0010000E,00C3202A,4,7,1
330,FFFFFFFF,00000001,00000000,00000005,00000001,FFFFFFFF,FFFFFFFF,00000001,00000000,0010000F,10850002,1,6,0
335,FFFFFFFF,00000001,00000000,00000005,00000001,FFFFFFFF,FFFFFFFF,00000001,00000000,0010000F,10850002,1,6,1
340,00000044,00000005,00000049,00000005,00000005,00000044,00000044,00000005,00000049,00100010,00C33022,4,6,0
345,00000044,00000005,00000049,00000005,00000005,00000044,00000044,00000005,00000049,00100010,00C33022,4,6,1
