SimTime,cpu_tb.cpu_ut.registers.inW[31:0],cpu_tb.cpu_ut.registers.outB[31:0],cpu_tb.cpu_ut.registers.outA[31:0],cpu_tb.cpu_ut.datamem.dout[31:0],cpu_tb.cpu_ut.datamem.din[31:0],cpu_tb.cpu_ut.datamem.addr[31:0],cpu_tb.cpu_ut.cpu_alu.R[31:0],cpu_tb.cpu_ut.cpu_alu.B[31:0],cpu_tb.cpu_ut.cpu_alu.A[31:0],cpu_tb.cpu_ut.instructionfetcher.currpc[29:0],cpu_tb.cpu_ut.instructionfetcher.instr[31:0],cpu_tb.cpu_ut.aluctrl.ALUOp[2:0],cpu_tb.cpu_ut.aluctrl.ALUCtr[2:0],cpu_tb.clk
3215,10000028,10000024,10000024,00000007,10000024,10000028,10000028,00000004,10000024,00100014,20630004,0,2,1
3220,00000000,10000028,10000028,00000000,10000028,00000000,00000000,10000028,10000028,00100015,1465FFF8,1,6,0
3225,00000000,10000028,10000028,00000000,10000028,00000000,00000000,10000028,10000028,00100015,1465FFF8,1,6,1
3230,10000018,10000014,10000014,0000000A,10000014,10000018,10000018,00000004,10000014,00100016,20420004,0,2,0
3235,10000018,10000014,10000014,0000000A,10000014,10000018,10000018,00000004,10000014,00100016,20420004,0,2,1
3240,FFFFFFF4,10000024,10000018,00000006,10000024,FFFFFFF4,FFFFFFF4,10000024,10000018,00100017,1444FFF4,1,6,0
3245,FFFFFFF4,10000024,10000018,00000006,10000024,FFFFFFF4,FFFFFFF4,10000024,10000018,00100017,1444FFF4,1,6,1
3250,0000000A,00000006,10000018,0000000A,00000006,10000018,10000018,00000000,10000018,0010000C,8C470000,0,2,0
3255,0000000A,00000006,10000018,0000000A,00000006,10000018,10000018,00000000,10000018,0010000C,8C470000,0,2,1
3260,1000001C,10000028,10000018,00000009,10000028,1000001C,1000001C,00000004,10000018,0010000D,20430004,0,2,0
3265,1000001C,10000028,10000018,00000009,10000028,1000001C,1000001C,00000004,10000018,0010000D,20430004,0,2,1
3270,00000009,00000006,1000001C,00000009,00000006,1000001C,1000001C,00000000,1000001C,0010000E,8C610000,0,2,0
3275,00000009,00000006,1000001C,00000009,00000006,1000001C,1000001C,00000000,1000001C,0010000E,8C610000,0,2,1
3280,00000000,00000009,0000000A,00000000,00000009,00000000,00000000,00000009,0000000A,0010000F,00E1302A,4,7,0
3285,00000000,00000009,0000000A,00000000,00000009,00000000,00000000,00000009,0000000A,0010000F,00E1302A,4,7,1
3290,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100010,1CC00003,0,2,0
3295,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100010,1CC00003,0,2,1
3300,10000018,00000009,10000018,00000009,00000009,10000018,10000018,00000000,10000018,00100011,AC410000,0,2,0
3305,10000018,00000009,10000018,00000009,00000009,10000018,10000018,00000000,10000018,00100011,AC410000,0,2,1
3310,1000001C,0000000A,1000001C,0000000A,0000000A,1000001C,1000001C,00000000,1000001C,00100012,AC670000,0,2,0
3315,1000001C,0000000A,1000001C,0000000A,0000000A,1000001C,1000001C,00000000,1000001C,00100012,AC670000,0,2,1
3320,00000009,00000000,00000009,0000000A,00000000,00000009,00000009,00000000,00000009,00100013,00203820,4,2,0
3325,00000009,00000000,00000009,0000000A,00000000,00000009,00000009,00000000,00000009,00100013,00203820,4,2,1
3330,10000020,1000001C,1000001C,00000008,1000001C,10000020,10000020,00000004,1000001C,00100014,20630004,0,2,0
3335,10000020,1000001C,1000001C,00000008,1000001C,10000020,10000020,00000004,1000001C,00100014,20630004,0,2,1
3340,FFFFFFF8,10000028,10000020,00000000,10000028,FFFFFFF8,FFFFFFF8,10000028,10000020,00100015,1465FFF8,1,6,0
3345,FFFFFFF8,10000028,10000020,00000000,10000028,FFFFFFF8,FFFFFFF8,10000028,10000020,00100015,1465FFF8,1,6,1
3350,00000008,00000009,10000020,00000008,00000009,10000020,10000020,00000000,10000020,0010000E,8C610000,0,2,0
3355,00000008,00000009,10000020,00000008,00000009,10000020,10000020,00000000,10000020,0010000E,8C610000,0,2,1
3360,00000000,00000008,00000009,00000000,00000008,00000000,00000000,00000008,00000009,0010000F,00E1302A,4,7,0
3365,00000000,00000008,00000009,00000000,00000008,00000000,00000000,00000008,00000009,0010000F,00E1302A,4,7,1
