SimTime,cpu_tb.cpu_ut.datamem.mem[24][1],cpu_tb.cpu_ut.datamem.mem[24][0],cpu_tb.cpu_ut.datamem.mem[23][1],cpu_tb.cpu_ut.datamem.mem[23][0],cpu_tb.cpu_ut.datamem.mem[22][1],cpu_tb.cpu_ut.datamem.mem[22][0],cpu_tb.cpu_ut.datamem.mem[21][1],cpu_tb.cpu_ut.datamem.mem[21][0],cpu_tb.cpu_ut.datamem.mem[20][1],cpu_tb.cpu_ut.datamem.mem[20][0],cpu_tb.cpu_ut.datamem.mem[19][1],cpu_tb.cpu_ut.datamem.mem[19][0],cpu_tb.cpu_ut.datamem.mem[18][1],cpu_tb.cpu_ut.datamem.mem[18][0],cpu_tb.cpu_ut.datamem.mem[17][1],cpu_tb.cpu_ut.datamem.mem[17][0],cpu_tb.cpu_ut.datamem.mem[16][1],cpu_tb.cpu_ut.datamem.mem[16][0]
0,00000002,10000020,00000001,1000001C,00000004,10000018,00000006,10000014,00000005,10000010,00000007,1000000C,00000008,10000008,0000000A,10000004,00000009,10000000
3870,00000009,10000020,00000008,1000001C,00000007,10000018,00000006,10000014,00000005,10000010,00000004,1000000C,00000003,10000008,00000002,10000004,00000001,10000000
